RANK,Country,Happiness,GNI,Lifeexpectancy,ControlofCorruption,PoliticalStability,Unemployment,Meanyearsofschooling
112,Turkey,4.744,31032.80106,76.0324,-0.385957003,-1.098093987,13.38599968,8.63313961
113,Burkina Faso,4.67,2117.915916,59.2696,-0.059376009,-1.63874197,4.757999897,2.114962259
114,Cambodia,4.64,4078.697154,69.5835,-1.176956654,-0.132115364,0.611999989,5.088
115,Benin,4.623,3408.965923,59.821,-0.154652014,-0.301340491,1.574000001,4.304786445
116,Comoros*,4.609,3142.064119,63.4174,-1.287278533,-0.227460593,9.44699955,5.078649
117,Uganda,4.603,2181.43651,62.7048,-0.998556554,-0.859658301,2.936000109,5.730941566
118,Nigeria,4.552,4790.284425,52.676,-1.070116878,-1.779303193,9.788000107,7.181074153
119,Kenya,4.543,4473.570344,61.427,-0.713267028,-1.089664936,5.742000103,6.652
120,Tunisia,4.516,10257.54477,73.7719,-0.229555964,-0.69575119,16.8239994,7.431598614
121,Pakistan,4.516,4623.70543,66.0979,-0.785676658,-1.666778922,4.352000237,4.536330223
122,Palestinian Territories*,4.483,6582.899416,73.4727,-0.738599837,-1.839265466,24.90299988,9.938480377
123,Mali,4.479,2132.629443,58.9414,-0.867007017,-2.352436543,7.71999979,2.31
124,Namibia,4.459,8633.504452,59.269,0.258660823,0.547819197,21.6779995,7.192013277
125,"Eswatini, Kingdom of*",4.396,7678.591873,57.0657,-0.650570393,-0.030135727,25.75600052,5.596
126,Myanmar,4.394,3850.524234,65.6716,-1.027559519,-2.065757036,2.173000097,6.37680006
127,Sri Lanka,4.362,12578.22055,76.3991,-0.334563583,-0.317933023,5.394999981,10.82730007
128,Madagascar*,4.339,1483.520983,64.4853,-0.933383822,-0.635925055,2.594000101,5.120468534
129,Egypt,4.288,11731.69056,70.2207,-0.684838116,-1.024205089,9.329000473,9.573026174
130,Chad*,4.251,1364.169417,52.5254,-1.477722049,-1.335539699,1.881999969,2.57377421
131,Ethiopia,4.241,2361.069604,64.9748,-0.397181958,-2.06836009,3.694000006,3.201520681
132,Yemen*,4.197,1314.270189,63.7534,-1.651690602,-2.588037968,13.57400036,3.2
133,Mauritania*,4.153,5075.305711,64.3636,-0.821054399,-0.670254648,11.4630003,4.918804891
134,Jordan,4.152,9923.714974,74.2563,0.05046254,-0.275730044,19.25200081,10.44668007
135,Togo,4.112,2166.619062,61.6194,-0.668002546,-0.801819801,4.004000187,5.016807367
136,India,3.777,6589.980037,67.2398,-0.294859201,-0.615044951,5.978000164,6.655109195
137,Zambia,3.76,3217.767739,61.2234,-0.753424048,0.060216367,13.02600002,7.187091494
138,Malawi,3.75,1465.635064,62.9044,-0.300203651,-0.112530209,7.020999908,4.489695385
139,Tanzania,3.702,2664.329096,66.2007,-0.355093211,-0.436965555,2.648999929,6.37289871
140,Sierra Leone,3.574,1621.512579,60.0624,-0.431214958,-0.164547756,5.333000183,4.576081285
141,Lesotho*,3.512,2700.435748,53.062,-0.315276623,-0.219594419,24.59799957,6.010184707
142,Botswana*,3.471,16198.31841,61.1409,0.685204029,0.978377819,24.72200012,10.34
143,Rwanda*,3.268,2209.795202,66.0722,0.599220455,0.170438632,1.606999993,4.425292358
144,Zimbabwe,2.995,3809.887158,59.2531,-1.257896781,-1.026783109,5.173999786,8.710908501
145,Lebanon,2.955,9525.831467,75.0472,-1.22970438,-1.493480563,14.48799992,8.718636
146,Afghanistan,2.404,1824.190915,61.9824,-1.1423769,-2.529855251,13.28299999,2.98506999
